花朵ID,病害面积比例(%),花瓣面积(像素),病害面积(像素)
1,15.20,315072,26869
2,13.77,315072,26869
3,10.45,315072,26869
4,13.93,315072,26869
5,9.67,315072,26869
6,8.52,315072,26869
7,28.41,315072,26869
8,21.77,315072,26869
9,13.19,315072,26869
10,7.08,315072,26869
11,9.20,315072,26869
12,15.02,315072,26869
13,6.54,315072,26869
14,8.53,315072,26869
