花朵ID,病害面积比例(%),花瓣面积(像素),病害面积(像素)
1,14.97,301473,45120
2,13.96,302506,42226
3,25.70,287069,73779
4,15.30,281847,43129
5,18.13,296830,53829
6,12.23,294878,36065
7,20.01,299081,59852
8,8.69,290059,25202
9,25.66,294746,75637
10,24.97,303347,75753
11,8.28,316230,26195
12,8.33,294024,24491
13,16.64,296762,49369
14,10.84,290950,31525
15,16.80,290594,48833
