花朵ID,病害面积比例(%),花瓣面积(像素),病害面积(像素)
1,19.84,303460,60208
2,22.16,302076,66951
3,8.78,301849,26515
4,14.78,299073,44189
5,6.20,311380,19290
6,9.13,297506,27151
7,4.08,298651,12178
8,0.11,293015,308
9,8.83,296816,26205
10,7.86,293695,23071
11,3.61,303329,10955
12,24.83,310825,77186
13,15.97,304863,48699
14,11.59,297998,34550
15,6.14,295245,18142
16,4.92,306307,15067
